                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    135,                0.94323,                 1.0985,                0.89111,                0.53176,                 0.8188,                 0.6363,                0.47867,                0.89718,                 1.0475,                0.85747,             0.00093535,             0.00093535,             0.00093535
                    136,                  0.899,                 0.9872,                0.86739,                0.53176,                 0.8188,                 0.6363,                0.47867,                0.89718,                 1.0475,                0.85747,             0.00092985,             0.00092985,             0.00092985
                    137,                0.89562,                0.98926,                0.87958,                0.53176,                 0.8188,                 0.6363,                0.47867,                0.89718,                 1.0475,                0.85747,             0.00092435,             0.00092435,             0.00092435
                    138,                0.93205,                 1.0106,                0.87803,                0.53018,                0.81744,                0.63564,                0.48801,                0.83617,                  1.032,                0.85104,             0.00091885,             0.00091885,             0.00091885
                    139,                0.92227,                0.93041,                0.89649,                0.53018,                0.81744,                0.63564,                0.48801,                0.83617,                  1.032,                0.85104,             0.00091335,             0.00091335,             0.00091335
                    140,                0.85162,                0.98068,                0.85404,                0.53018,                0.81744,                0.63564,                0.48801,                0.83617,                  1.032,                0.85104,             0.00090785,             0.00090785,             0.00090785
                    141,                0.86331,                 1.0149,                0.87078,                0.54136,                 0.8188,                  0.643,                0.48904,                 0.8529,                 1.0421,                 0.8495,             0.00090235,             0.00090235,             0.00090235
                    142,                0.87632,                 0.9356,                0.87085,                0.54136,                 0.8188,                  0.643,                0.48904,                 0.8529,                 1.0421,                 0.8495,             0.00089685,             0.00089685,             0.00089685
                    143,                0.90113,                0.97705,                0.88214,                0.54136,                 0.8188,                  0.643,                0.48904,                 0.8529,                 1.0421,                 0.8495,             0.00089134,             0.00089134,             0.00089134
                    144,                0.89761,                0.97201,                0.86865,                0.54422,                 0.8297,                0.65444,                0.49519,                0.85948,                 1.0334,                0.85173,             0.00088584,             0.00088584,             0.00088584
                    145,                0.99421,                 0.9573,                0.89195,                0.54422,                 0.8297,                0.65444,                0.49519,                0.85948,                 1.0334,                0.85173,             0.00088034,             0.00088034,             0.00088034
                    146,                0.83816,                 1.0348,                0.86915,                0.54422,                 0.8297,                0.65444,                0.49519,                0.85948,                 1.0334,                0.85173,             0.00087484,             0.00087484,             0.00087484
                    147,                0.92779,                0.94802,                  0.866,                0.53134,                0.81744,                0.65155,                0.49699,                0.83752,                 1.0188,                0.85095,             0.00086934,             0.00086934,             0.00086934
                    148,                0.87342,                0.97054,                0.86879,                0.53134,                0.81744,                0.65155,                0.49699,                0.83752,                 1.0188,                0.85095,             0.00086384,             0.00086384,             0.00086384
                    149,                0.81255,                0.96163,                0.86236,                0.53134,                0.81744,                0.65155,                0.49699,                0.83752,                 1.0188,                0.85095,             0.00085834,             0.00085834,             0.00085834
                    150,                0.84434,                0.95513,                0.86226,                0.53134,                0.81744,                0.65155,                0.49699,                0.83752,                 1.0188,                0.85095,             0.00085284,             0.00085284,             0.00085284
                    151,                0.87918,                0.92522,                0.88195,                0.53267,                0.82016,                0.64854,                0.48717,                 0.8729,                 1.0333,                0.85817,             0.00084734,             0.00084734,             0.00084734
